id,famid,trait1,ibdid,probnd,age
 962058,,  -0.9062731590000001E+00,   0.4000000000000000E+01,   0.0000000000000000E+00,   0.2600000000000000E+02,
 257946,,   0.4948731640000000E+00,   0.3000000000000000E+01,   0.0000000000000000E+00,   0.2800000000000000E+02,
 571144,,  -0.8592553770000000E+00,   0.7000000000000000E+01,   0.0000000000000000E+00,   0.2500000000000000E+02,
 517239,,   0.2599292730000000E+00,   0.1100000000000000E+02,   0.0000000000000000E+00,   0.2300000000000000E+02,
 213017,,   0.2953911410000000E+00,   0.1000000000000000E+02,   0.0000000000000000E+00,   0.2500000000000000E+02,
 812746,,   0.2859001120000000E+00,   0.1500000000000000E+02,   0.0000000000000000E+00,   0.2200000000000000E+02,
 589567,,  -0.2953911410000000E+00,   0.1400000000000000E+02,   0.0000000000000000E+00,   0.2500000000000000E+02,
 237334,,  -0.7889742760000000E+00,   0.1900000000000000E+02,   0.0000000000000000E+00,   0.2300000000000000E+02,
 213421,,  -0.2575772200000000E+00,   0.1800000000000000E+02,   0.0000000000000000E+00,   0.2600000000000000E+02,
 171431,,  -0.1300185830000000E+00,   0.2500000000000000E+02,   0.0000000000000000E+00,   0.2900000000000000E+02,
 473952,,  -0.1443710855000000E+01,   0.2400000000000000E+02,   0.0000000000000000E+00,   0.3200000000000000E+02,
 289555,,   0.1370281932000000E+01,   0.2300000000000000E+02,   0.0000000000000000E+00,   0.3200000000000000E+02,
 204622,,   0.1237312842000000E+01,   0.2900000000000000E+02,   0.0000000000000000E+00,   0.3000000000000000E+02,
 123723,,  -0.1691485569000000E+01,   0.2800000000000000E+02,   0.0000000000000000E+00,   0.3200000000000000E+02,
 677968,,  -0.9340613790000000E+00,   0.3500000000000000E+02,   0.0000000000000000E+00,   0.3500000000000000E+02,
 139637,,   0.1737410620000000E+00,   0.3400000000000000E+02,   0.0000000000000000E+00,   0.3500000000000000E+02,
 150524,,  -0.3192376890000000E+00,   0.4100000000000000E+02,   0.0000000000000000E+00,   0.2600000000000000E+02,
 104820,,  -0.1018311499000000E+01,   0.4000000000000000E+02,   0.0000000000000000E+00,   0.3600000000000000E+02,
 101006,,   0.1158098220000000E+01,   0.3900000000000000E+02,   0.0000000000000000E+00,   0.3500000000000000E+02,
 877168,,   0.2528773710000000E+00,   0.4600000000000000E+02,   0.0000000000000000E+00,   0.3500000000000000E+02,
 250427,,   0.3640191500000000E-01,   0.4500000000000000E+02,   0.0000000000000000E+00,   0.3500000000000000E+02,
 156637,,   0.8658546539999999E+00,   0.4400000000000000E+02,   0.0000000000000000E+00,   0.3100000000000000E+02,
 205725,,   0.2388108340000000E+00,   0.5000000000000000E+02,   0.0000000000000000E+00,   0.2300000000000000E+02,
 151627,,  -0.1460935350000000E+00,   0.4900000000000000E+02,   0.0000000000000000E+00,   0.3000000000000000E+02,
 904044,,   0.1437291410000000E+01,   0.5400000000000000E+02,   0.0000000000000000E+00,   0.3500000000000000E+02,
 208226,,  -0.1185572520000000E+00,   0.5300000000000000E+02,   0.0000000000000000E+00,   0.2400000000000000E+02,
 887373,,   0.8592553770000000E+00,   0.5900000000000000E+02,   0.0000000000000000E+00,   0.3500000000000000E+02,
 748258,,   0.8396780410000000E+00,   0.5800000000000000E+02,   0.0000000000000000E+00,   0.2500000000000000E+02,
 552544,,  -0.5443409150000000E+00,   0.5700000000000000E+02,   0.0000000000000000E+00,   0.3500000000000000E+02,
 745555,,  -0.8994349080000000E+00,   0.6300000000000000E+02,   0.0000000000000000E+00,   0.3500000000000000E+02,
 126931,,  -0.1450190352000000E+01,   0.6200000000000000E+02,   0.0000000000000000E+00,   0.3500000000000000E+02,
 559053,,   0.8197795099999999E-01,   0.6900000000000000E+02,   0.0000000000000000E+00,   0.3500000000000000E+02,
 203721,,  -0.6845183390000000E+00,   0.6800000000000000E+02,   0.0000000000000000E+00,   0.3300000000000000E+02,
 118932,,  -0.1595019819000000E+01,   0.6600000000000000E+02,   0.0000000000000000E+00,   0.2600000000000000E+02,
 191437,,   0.2729879800000000E-01,   0.6700000000000000E+02,   0.0000000000000000E+00,   0.3500000000000000E+02,
 733548,,  -0.1437291410000000E+01,   0.7400000000000000E+02,   0.0000000000000000E+00,   0.3500000000000000E+02,
 298051,,  -0.1323128520000000E+00,   0.7300000000000000E+02,   0.0000000000000000E+00,   0.3100000000000000E+02,
 129533,,  -0.1636986005000000E+01,   0.7200000000000000E+02,   0.0000000000000000E+00,   0.3500000000000000E+02,
 645450,,   0.2108160000000000E+00,   0.7900000000000000E+02,   0.0000000000000000E+00,   0.3000000000000000E+02,
 137431,,   0.7253463710000000E+00,   0.7800000000000000E+02,   0.0000000000000000E+00,   0.3500000000000000E+02,
 127832,,   0.1654610020000000E+01,   0.7700000000000000E+02,   0.0000000000000000E+00,   0.3500000000000000E+02,
 429040,,   0.7858729490000000E+00,   0.8400000000000000E+02,   0.0000000000000000E+00,   0.3400000000000000E+02,
 157336,,   0.5682386090000000E+00,   0.8300000000000000E+02,   0.0000000000000000E+00,   0.3400000000000000E+02,
 110411,,   0.6931693720000000E+00,   0.8200000000000000E+02,   0.0000000000000000E+00,   0.3100000000000000E+02,
 192439,,  -0.3412588200000000E-01,   0.8900000000000000E+02,   0.0000000000000000E+00,   0.3400000000000000E+02,
 138231,,   0.5051832600000000E+00,   0.8800000000000000E+02,   0.0000000000000000E+00,   0.3300000000000000E+02,
 125525,,   0.7969588900000001E-01,   0.8700000000000000E+02,   0.0000000000000000E+00,   0.3400000000000000E+02,
 193239,,   0.9808255710000000E+00,   0.9400000000000000E+02,   0.0000000000000000E+00,   0.3000000000000000E+02,
 175439,,  -0.6960645840000000E+00,   0.9300000000000000E+02,   0.0000000000000000E+00,   0.3400000000000000E+02,
 115320,,   0.6033445650000000E+00,   0.9200000000000000E+02,   0.0000000000000000E+00,   0.3400000000000000E+02,
 702133,,  -0.2054499159000000E+01,   0.9900000000000000E+02,   0.0000000000000000E+00,   0.3400000000000000E+02,
 448347,,  -0.1185209400000000E+01,   0.9800000000000000E+02,   0.0000000000000000E+00,   0.2600000000000000E+02,
 163432,,   0.1592299400000000E-01,   0.9700000000000000E+02,   0.0000000000000000E+00,   0.3400000000000000E+02,
 788876,,  -0.6601181200000000E-01,   0.1040000000000000E+03,   0.0000000000000000E+00,   0.3100000000000000E+02,
 293748,,  -0.1272299327000000E+01,   0.1030000000000000E+03,   0.0000000000000000E+00,   0.3400000000000000E+02,
 212318,,  -0.1578993412000000E+01,   0.1020000000000000E+03,   0.0000000000000000E+00,   0.3400000000000000E+02,
 139233,,   0.1053316395000000E+01,   0.1070000000000000E+03,   0.0000000000000000E+00,   0.3400000000000000E+02,
 884064,,   0.4541404130000000E+00,   0.1110000000000000E+03,   0.0000000000000000E+00,   0.3500000000000000E+02,
 122822,,  -0.9305485980000000E+00,   0.1100000000000000E+03,   0.0000000000000000E+00,   0.3500000000000000E+02,
 579665,,  -0.1137333200000000E-01,   0.1150000000000000E+03,   0.0000000000000000E+00,   0.3400000000000000E+02,
 116120,,   0.1497353617000000E+01,   0.1140000000000000E+03,   0.0000000000000000E+00,   0.3400000000000000E+02,
 202820,,  -0.8691684690000000E+00,   0.1190000000000000E+03,   0.0000000000000000E+00,   0.3600000000000000E+02,
 171128,,   0.1049363416000000E+01,   0.1180000000000000E+03,   0.0000000000000000E+00,   0.3600000000000000E+02,
 665254,,   0.6829156400000000E-01,   0.1240000000000000E+03,   0.0000000000000000E+00,   0.3300000000000000E+02,
 161731,,  -0.2108160000000000E+00,   0.1230000000000000E+03,   0.0000000000000000E+00,   0.3500000000000000E+02,
 120212,,  -0.7462185730000001E+00,   0.1220000000000000E+03,   0.0000000000000000E+00,   0.3300000000000000E+02,
 627549,,  -0.4315593530000000E+00,   0.1290000000000000E+03,   0.0000000000000000E+00,   0.3300000000000000E+02,
 169343,,   0.2622827650000000E+00,   0.1280000000000000E+03,   0.0000000000000000E+00,   0.3300000000000000E+02,
 151223,,  -0.1456731313000000E+01,   0.1270000000000000E+03,   0.0000000000000000E+00,   0.2600000000000000E+02,
 227533,,   0.1575985580000000E+00,   0.1380000000000000E+03,   0.0000000000000000E+00,   0.3300000000000000E+02,
 134425,,   0.1336186865000000E+01,   0.1370000000000000E+03,   0.0000000000000000E+00,   0.2700000000000000E+02,
 134324,,   0.1876134610000000E+00,   0.1360000000000000E+03,   0.0000000000000000E+00,   0.3000000000000000E+02,
 856766,,  -0.4617186130000000E+00,   0.1430000000000000E+03,   0.0000000000000000E+00,   0.3300000000000000E+02,
 598568,,  -0.1208482250000000E+00,   0.1420000000000000E+03,   0.0000000000000000E+00,   0.2600000000000000E+02,
 172534,,   0.1330653393000000E+01,   0.1410000000000000E+03,   0.0000000000000000E+00,   0.2300000000000000E+02,
 413934,,   0.1254320850000000E+00,   0.1470000000000000E+03,   0.0000000000000000E+00,   0.3300000000000000E+02,
 310621,,   0.1167040059000000E+01,   0.1460000000000000E+03,   0.0000000000000000E+00,   0.3300000000000000E+02,
 715647,,  -0.9411217549999999E+00,   0.1520000000000000E+03,   0.0000000000000000E+00,   0.3300000000000000E+02,
 709551,,   0.1506931390000000E+00,   0.1510000000000000E+03,   0.0000000000000000E+00,   0.3300000000000000E+02,
 679568,,   0.1298276387000000E+01,   0.1500000000000000E+03,   0.0000000000000000E+00,   0.2900000000000000E+02,
 844961,,   0.1909005803000000E+01,   0.1570000000000000E+03,   0.0000000000000000E+00,   0.3300000000000000E+02,
 176037,,  -0.6392104650000000E+00,   0.1560000000000000E+03,   0.0000000000000000E+00,   0.3000000000000000E+02,
 112516,,   0.1645734116000000E+01,   0.1550000000000000E+03,   0.0000000000000000E+00,   0.3300000000000000E+02,
 937160,,   0.4415675390000000E+00,   0.1620000000000000E+03,   0.0000000000000000E+00,   0.3000000000000000E+02,
 143325,,   0.6197988900000000E+00,   0.1610000000000000E+03,   0.0000000000000000E+00,   0.3200000000000000E+02,
 103818,,  -0.2646377110000000E+00,   0.1600000000000000E+03,   0.0000000000000000E+00,   0.3200000000000000E+02,
 992774,,  -0.1144856508000000E+01,   0.1680000000000000E+03,   0.0000000000000000E+00,   0.3500000000000000E+02,
